StudentID,Pract. Onderzoek & Rapp.,Propedeusethese,Wetens. en Stat. Redeneren,Wetensch. & Stat. Redeneren
31020509,7.5,,6.5,
31021043,8.0,,7.0,
31021391,7.0,,,6.0
31023983,7.5,,6.5,
31024274,7.5,,6.5,
31024841,7.0,,6.5,
31025285,9.5,,,8.5
31025705,7.5,,8.0,
31025795,8.5,,6.0,
31026170,7.0,,7.0,
31026194,7.5,,6.0,
31027739,8.5,,8.5,
31029191,7.0,,6.5,
31031318,6.5,,6.5,
31031747,6.0,,6.0,
31034792,6.0,,,6.0
31034921,7.0,,7.0,
31034945,8.5,,7.0,
31034969,6.0,,6.0,
31035014,7.0,,6.0,
31035539,7.0,,7.0,
31036874,7.0,,7.0,
31037618,8.0,,6.0,
31038479,8.0,,7.5,
31038503,8.0,,8.0,
31039433,7.5,,6.5,
31039724,8.0,,,6.0
31039805,9.5,,9.5,
31039895,8.0,,7.0,
31041176,7.0,,,7.0
31041548,7.5,,,6.0
31041815,7.5,,,6.0
31043174,6.5,,6.0,
31044731,,,,
31044803,6.0,,6.5,
31044908,8.5,,,7.5
31045685,7.5,,7.0,
31047938,6.0,,,6.0
31048034,6.5,,,6.5
31049531,7.0,,6.0,
31049579,9.5,,7.0,
31049951,8.0,,7.5,
31050050,7.5,,,6.0
31051619,7.5,,,7.5
31052177,7.5,,7.5,
31052411,8.0,,,8.5
31054001,8.5,,6.5,
31055351,7.0,,8.0,
31055642,7.5,,7.0,
31055690,7.0,,7.5,
31056035,7.0,,,6.5
31056107,6.0,,,6.0
31056350,7.0,,6.0,
31056431,6.0,,7.5,
31057523,7.0,,6.0,
31057895,6.0,,6.0,
31057967,8.0,,7.0,
31059791,,,6.0,
31060211,7.5,,7.0,
31060220,6.5,,6.0,
31060721,8.0,,7.0,
31063418,7.5,,6.0,
31063556,7.0,,7.0,
31064081,6.0,,7.5,
31064615,8.5,,7.0,
31065011,7.5,,8.5,
31065032,9.0,,,8.5
31065056,6.0,,7.0,
31065524,6.5,,6.5,
31065695,,,,
31066277,7.5,,7.0,
31067555,6.0,,,6.0
31067603,7.5,,8.0,
31067708,9.0,,8.0,
31067822,7.5,,6.0,
31068125,6.5,,6.0,
31069103,8.5,,7.5,
31069766,7.5,,6.0,
31069790,7.5,,7.0,
31071041,8.5,,7.5,
31071800,9.0,,8.5,
31072019,9.5,,9.5,
31072196,8.0,,8.0,
31072439,7.0,,6.0,
31072706,9.0,,7.5,
31073192,7.0,,7.0,
31073435,6.5,,,7.5
31073684,8.0,,8.0,
31073774,7.0,,7.0,
31073831,7.5,,6.0,
31074008,7.0,,6.5,
31074053,8.0,,6.5,
31074158,7.5,,,6.0
31074311,7.5,,7.0,
31074983,6.5,,6.5,
31075775,7.0,,6.0,
31076132,7.0,,,6.5
31076333,8.0,,,6.0
31076681,6.0,,,6.0
31076795,6.5,,6.0,
31076867,8.5,,8.5,
31077170,8.0,,,6.0
31077590,8.5,,6.0,
31078319,7.5,,7.5,
31079006,7.5,,6.0,
31079225,8.5,,8.0,
31079378,6.5,,,6.0
31079402,6.5,,6.0,
31081952,9.0,,8.5,
31083104,6.5,,6.5,
31084454,7.5,,,6.5
31086278,7.5,,,6.0
31086635,7.0,,7.5,
31087985,7.5,,6.0,
31088057,6.5,,7.0,
31088147,8.0,,,7.5
31088495,8.5,,,7.0
31088987,8.5,,,6.0
31089137,7.5,,6.5,
31089995,7.0,,8.5,
31090706,8.0,,8.0,
31090811,8.0,,6.5,
31091192,8.0,,7.5,
31092344,7.0,,,6.5
31092959,8.0,,6.5,
31093799,7.0,,6.0,
31094042,7.0,,6.5,
31094309,6.5,,6.5,
31094447,7.0,,7.0,
31094867,7.0,,,6.0
31097054,8.0,,6.5,
31097225,6.5,,,6.0
31097645,7.5,,,7.0
31098644,8.5,,8.0,
31098701,6.0,,,6.0
31099484,6.5,,7.0,
31099970,7.0,,6.0,
31100480,7.5,,7.5,
31100609,7.0,,7.5,
31100723,6.5,,,7.0
31100828,6.0,,,6.5
31101005,6.0,,7.0,
31101737,7.5,,6.5,
31101980,8.0,,6.5,
31102004,7.0,,7.5,
31102514,6.5,,7.5,
31103015,7.5,,,6.0
31103039,8.5,,8.0,
31105931,6.5,,,8.0
31106909,6.0,,6.0,
31106933,8.5,,8.0,
31107431,8.0,,6.5,
31107503,6.5,,,6.0
31111841,7.5,,7.0,
31112333,7.5,,,6.5
31112600,6.5,,6.5,
31113251,7.0,,6.0,
31114763,6.5,,,7.5
31114787,7.0,,6.0,
31114877,6.5,,6.0,
31114958,7.5,,6.0,
31115402,8.5,,7.5,
31115468,8.0,,,6.0
31115807,6.5,,,6.5
31117169,7.0,,6.0,
31117193,7.0,,7.5,
31117283,7.0,,7.0,
31117484,8.5,,7.0,
31117526,6.5,,,6.5
31117679,6.0,,,6.0
31117727,6.5,,7.0,
31117994,7.0,,,6.5
31118165,7.5,,6.5,
31118213,7.0,,6.5,
31119227,7.5,,,6.0
31120004,6.0,,,
31120109,7.5,,7.5,
31120376,,,,6.0
