"","StudentID","thesis_grades"
"489",1741919,7.5
"490",1742048,8
"491",1742072,7.5
"492",1742096,6
"493",1742138,8
"494",1742234,8
"495",1742291,6.5
"496",1742429,0
"497",1742477,6
"498",1742711,8.5
"499",1742720,7.5
"500",1754519,8.5
"501",1754915,7.5
"502",1754939,7
"503",1754987,7
"504",1755041,0
"505",1755356,8.5
"506",1762214,8
"507",1762319,8
"508",1770044,7.5
"509",1770149,8
"510",1770521,7.5
"511",1770593,7
"512",1770707,0
"513",1770812,7
"514",1770926,0
"515",1775750,8
"516",1777403,8
"517",1780877,8.5
"518",1780958,7
"519",1781006,8.5
"520",1781030,6.5
"521",1781054,8
"522",1783436,6
"523",1793210,8
"524",1796966,7.5
"525",1805282,7
"526",1805702,8.5
"527",1807712,7.5
"528",1819697,6
"529",1819802,7.5
"530",1819868,7
"531",1819916,0
"532",1822541,0
"533",1823987,7
"534",1829309,8
"535",1831058,7.5
"536",1832036,8.5
"537",1832837,8
"538",1837034,7.5
"539",1840718,0
"540",1841057,7.5
"541",1843067,0
"542",1843973,7.5
"543",1878059,9
"544",1910300,7.5
"545",16801511,0
"546",16801649,0
"547",16801892,0
"548",16802093,0
"549",16802135,0
"550",16802183,0
"551",16802312,0
"552",16802708,0
"553",16814492,7
"554",16816946,7.5
"555",16831787,7.5
"556",16831853,7
"557",16840607,8.5
"558",16845572,9
"559",16847942,0
"560",16854020,0
"561",16854278,8
"562",16862558,7.5
"563",16867490,6.5
"564",16868219,0
"565",16868243,0
"566",16868954,7.5
"567",16880090,7.5
"568",16902725,7.5
"569",16904852,7
"570",16905575,7.5
"571",16907039,7.5
"572",16915502,8.5
"573",16917536,9
"574",16945019,7
"575",16950710,8
"576",16953116,6.5
"577",16953998,8
"578",16963529,7
"579",16966160,7
"580",16966250,7
"581",16967156,7
"582",16967309,0
"583",16967624,7
"584",16969496,7.5
"585",16972193,8.5
"586",16974131,7.5
"587",16975910,7.5
"588",16976282,0
"589",16981439,0
"590",16981463,0
"591",16981529,7.5
"592",16981553,7.5
"593",16981577,8.5
"594",16981658,8
"595",16981706,5.5
"596",16981844,6.5
"597",16981901,7
"598",16981949,7
"599",16981997,8
"600",16982102,7.5
"601",16982168,7.5
"602",16982216,8.5
"603",16982240,8
"604",16982264,8.5
"605",16982321,7
"606",16982369,8.5
"607",16982393,7.5
"608",16982435,6.5
"609",16982459,0
"610",16982507,6.5
"611",16982660,0
"612",16982774,7
"613",16982831,7
"614",16982879,8
"615",16982903,0
"616",16982927,7.5
"617",16983053,8.5
"618",16983077,0
"619",16983182,0
"620",16983230,8
"621",16983311,7.5
