"StudentID","thesis_grades"
17413736,7
17413760,7.5
17413784,8
17413850,8
17413955,0
17413979,0
17414027,7.5
17414117,8.5
17414198,6
17414222,8.5
17414246,7.5
17414270,8.5
17414399,6.5
17414441,7
17414465,7
17414642,0
17414666,7.5
17414690,7.5
17414732,9
17414861,7
17414885,0
17414909,7.5
17414957,7.5
17415059,7.5
17415083,7
17415107,6.5
17415188,8
17415284,8.5
17415350,7.5
17415527,7.5
17415875,9.5
17415965,0
17416409,7.5
17416457,8.5
17416547,7
17416652,7.5
17416700,7.5
17416895,7
17416943,8.5
17417072,8.5
17417138,8.5
17417186,7.5
17417315,7.5
17417363,8.5
17417429,7.5
17417477,7
17417582,8
17417711,8.5
17417825,8
17417873,7
17417978,7.5
17418224,6.5
17418314,7.5
17418638,7.5
17418734,7.5
17418929,8
17419220,7
17419325,9
17419397,7.5
17419568,7.5
17419640,7
17419988,7.5
17420231,8
17420303,7
17420942,7
17421068,8
17421140,7
17421335,7
17421998,8
17422175,0
17422313,6.5
17422532,17
17422580,7.5
17422757,5.25
17423105,8
17423195,0
17423462,7.5
17423510,0
17423639,7.5
17423687,8
17423753,7.5
17423954,7.5
17424032,7.5
17424080,6
17424161,8
17424209,8.5
17424257,8
17424347,9
17424500,7
17424581,9
17424614,8
17424695,8
17424743,7.5
17424896,9
17424962,8
17425091,8.5
17425139,8.5
17430653,0
17431493,0
17440094,6.5
17442500,8
17445440,8.5
17445569,8
17445884,8.5
17445926,0
17445974,7.5
17446031,6.5
17446079,8
17446103,7
17446208,7.5
17446217,8.5
17450264,8.5
17453423,0
17453996,0
17454098,7.5
17454170,8
17456516,8
17461187,6.5
17461253,7.5
17469182,8
17469740,8
17469893,0
17470136,8
17471600,7.5
17475878,0
17475992,7.5
17476064,6
17476121,8
17476169,7.5
17476235,7.5
17476412,7.5
17476703,8
17477390,7.5
17478074,6
17478131,7.5
17478575,7
17480129,0
17483489,0
17486453,7.5
17486720,7
17486825,7
17486849,6.5
17486897,8
17487002,8
17487023,8
17487047,8
17487128,7
17487152,8.5
17487200,8
17487305,8
17487395,7.5
17487548,7
17487572,7
17487596,7.5
17487638,6.5
17489570,0
17493062,0
17498993,6.5
17499071,0
17499119,7
17499143,8.5
17502083,0
17506988,7.5
17507279,8
17509556,7
17510081,0
17511938,7
17512115,8.5
17515499,7.5
17519264,8.5
17521361,7
17522711,8.5
17524211,6.5
17524502,8
17524616,8
17524745,0
17524769,0
17524859,7
17524883,7
17524988,6.5
17529161,8.5
17531426,8
17531450,8.5
17531474,7
17534033,7.5
17535728,8
17536463,0
17536811,8
17541146,7
17546189,8
17549702,8.5
17549864,8.5
17566748,9
17579267,7.5
17588351,6.5
17590280,8.5
17602589,0
17604623,7.5
17604728,8.5
17610419,7.5
17610791,0
17611568,0
17618603,7
17618708,0
17618951,8.5
17619149,0
17619593,8.5
17620565,0
17621324,0
17629295,7.5
17634203,15
17635505,8.5
17637806,8
17645204,8.5
17648120,8.5
17655491,8.5
17662154,0
17662478,0
17669045,8.5
17670398,6
17670890,8.5
