ID,Faculteitscode,Organisatieomschrijving,Loopbaan,Career Nbr,Acad Prog,Studieprogrammaomschrijving,Acad Plan,Studieplanomschrijving,Soort studieplan,Acad Load,Sub-Plan,Subplanomschrijving,Ingangsdatum subplan,Status
17077235,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/09/2010,Active in Program
17080223,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,31/08/2013,Active in Program
17080223,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/09/2011,Active in Program
17080223,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/09/2010,Active in Program
17080223,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,31/08/2013,Active in Program
17080223,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/09/2011,Active in Program
17080223,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/09/2010,Active in Program
17084489,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,,,,Active in Program
17084861,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,30/06/2012,Active in Program
17084861,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/06/2010,Active in Program
17084933,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,31/08/2012,Active in Program
17084933,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/09/2011,Active in Program
17086814,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972507,Spec Psychological Methods,31/08/2012,Active in Program
17086814,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972507,Spec Psychological Methods,01/09/2010,Active in Program
17097302,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,31/01/2014,Active in Program
17097302,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/09/2012,Active in Program
17097368,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,31/08/2012,Active in Program
17097368,2532S001,Graduate School of Psychology,15,2,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,31/08/2012,Active in Program
17097368,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/09/2010,Active in Program
17097368,2532S001,Graduate School of Psychology,15,2,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/09/2010,Active in Program
17097440,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972513,Track Behaviour & Health,31/08/2013,Active in Program
17097440,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972513,Track Behaviour & Health,01/09/2011,Active in Program
17099414,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,31/08/2012,Active in Program
17099414,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/10/2010,Active in Program
17099471,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,31/08/2011,Active in Program
17099471,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/01/2011,Active in Program
17099471,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,31/08/2011,Active in Program
17099471,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/01/2011,Active in Program
17101292,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,31/08/2013,Active in Program
